id,url,date,content,carrier,carrier_category,place,text,reconstruction,translation,alphabet,writing_method,position,preservation,date_details,date_justification,comment,clean_text,start_year,end_year,century
377,https://epigraphica.ru/epigraphy/inscription/show/377,1050-1110,Молитва о Петре,Первоначальные стены Софийского собора,стена церкви,Собор св. Софии,Ги҃ [п]ом[о]зи ра своемоу,,"Господи, помоги рабу своему Петру.",кириллица,граффито,"Западный столб южного рукава креста, южная лопатка, южная грань. 16 см от левого края, 6 см ниже современного пола.",с утратами (50-85%),,,"Скрыта перекрытиями пола, постеленного в 1993 г. Вероятно, надпись выполнена тем же, кто изобразил слева от нее равноконечный четырехконечный крест с кружками в средокрестии, на концах лопастей и между лопастями.",Ги҃ помози ра своемоу,1050.0,1110.0,11.0
378,https://epigraphica.ru/epigraphy/inscription/show/378,1050-1110,Надпись о смерти Исая из церкви святого Власия,Первоначальные стены Софийского собора,стена церкви,Собор св. Софии,мс҇цѧ октѧбрѧ ·дї·,,"14 октября преставился раб божий Исай (?), из [клира церкви] святого Власия.",кириллица,граффито,"Западный столб южного рукава креста, южная лопатка, южная грань. Ок. 20 см от левого края, на уровне современного пола.",с небольшими утратами (>85%),До [1180] (предпочт. до [1120]).,,,мс҇цѧ октѧбрѧ · дї ·,1050.0,1110.0,11.0
381,https://epigraphica.ru/epigraphy/inscription/show/381,1050-1110,Автограф Местяты Жабцевича (?),Первоначальные стены Софийского собора,стена церкви,Собор св. Софии,МѣстѧтаЖ[а]бъчевичъ,,Местята Жабцевич (?) писал.,кириллица,граффито,"Западный столб южного рукава креста, южная лопатка, южная грань. 14 см от левого края, 39 см ниже уровня современного пола.",с небольшими утратами (>85%),"До [1180], предпочт. до [1140].",,"Одноеровая орфография: ь → ъ, 2× и 1× – после шипящего.",МѣстѧтаЖабъчевичъ,1050.0,1110.0,11.0
393,https://epigraphica.ru/epigraphy/inscription/show/393,1150-1220,Загадка о Христе и земле,Первоначальные стены Софийского собора,стена церкви,Собор св. Софии,(рече) [в]оноукъ бабе б(аба) ...,,"(Сказал) внук бабке: бабка, (положи меня в себя. Бабка ответила) ему: (ты меня родил (или: ты мой отец); как мне тебя положить?) [Ответ на загадку: внук - Христос, баба - земля]. ( )",кириллица,граффито,"Фрагмент под номером НВ 18528/196 происходит из раскопок А.Л. Монгайта, проводившихся в 1946 г. в южной (Мартирьевской) паперти Новгородского Софийского собора.",фрагмент (15-50%),Не позднее конца XIII в. ( ),,"Фрагмент загадки, входящей в апокрифическую “Беседу трех святителей”, широко распространенную в русских списках начиная с XV в. В наиболее ранней, согласно новейшему исследованию памятника, Троицкой редакции, данная загадка звучит следующим образом: “Василей рече: внук рече бабе своей: “Положи мя у себе”, и рече баба: “Како хощю положити тя, а ты ми отец”? Иоан рече: баба есть земля, а внук Христос”.",рече воноукъ бабе баба [GAP],1150.0,1220.0,12.0
394,https://epigraphica.ru/epigraphy/inscription/show/394,1174,Список убийц князя Андрея Боголюбского. Провозглашается проклятие убийцам и вечная память князю,Стены переславского Спасо-Преображенского собора,стена церкви,Спасо-Преображенский собор,;(левый столбец)Ѳралъвич[ь]: Амбалъ : ꙖкꙑКꙋцковичь (:) [О](ѳ)рѣмъ(Мои)зичь Добр[ꙑ](н)[а М](и)китич[О]ур-[мъ]------- [Ми]китаПетр(ъ) Иванковичь Ѳрольць Ми⸗ръшька Пьтръко Стꙑрѧтаси сꙋть [ꙋ]биїци велика⸗го кнѧзѧ Анъдр[ѣѧ]да бꙋд-[ть] проклѧ⸗ти и въ............ка(...);(правый столбец)мѣс҇цѧ июнѧ [к]ѳоубиенъ бꙑс҇ кн[ѧ]⸗зь Анъдрѣисвоими паробкꙑовомꙋ вѣч[н]аꙗ па⸗мѧт[ь] а симъ вѣчнаѧм[ꙋ]к[а] ачь кто в помꙑ⸗...-[ѣ]---[до]лз[ѣ]...(...),,"Петр (Фралович), Амбал, Яким Кучкович, Офрем Моизич, Добрына Микитич, Ур…, Микита, Петр Иванкович, Фролец, Мирошка, Петрко, Стырята (или: Петрко Стырята) — это убийцы великого князя Андрея. Да будут прокляты и в … Князь Андрей был убит 29 июня своими слугами. Ему — вечная память, а им — вечная мука. Если кто … ( )",кириллица,граффито,"Граффито расположено по центру южной апсиды собора на высоте 110 см над цоколем, т. е. на довольно большой высоте от границы фундамента и цокольной части. На южной апсиде полная высота цоколя, низ которого находится приблизительно в 35 см под современной вымосткой у стен храма, составляла около метра, т. е. нижний край надписи мог возвышаться над уровнем земли времени постройки собора более чем на 190 см, а верхний — приблизительно на 210 см. ( )",с небольшими утратами (>85%),,,,;левый столбецѲралъвичь: Амбалъ : ꙖкꙑКꙋцковичь : ОѳрѣмъМоизичь Добрꙑна МикитичОур-мъ [GAP] МикитаПетръ Иванковичь Ѳрольць Миръшька Пьтръко Стꙑрѧтаси сꙋть ꙋбиїци великаго кнѧзѧ Анъдрѣѧда бꙋд-ть проклѧти и въ [GAP] ка [GAP] ;правый столбецмѣс҇цѧ июнѧ кѳоубиенъ бꙑс҇ кнѧзь Анъдрѣисвоими паробкꙑовомꙋ вѣчнаꙗ памѧть а симъ вѣчнаѧмꙋка ачь кто в помꙑ [GAP] -ѣ [GAP] долзѣ [GAP],1174.0,1174.0,12.0
405,https://epigraphica.ru/epigraphy/inscription/show/405,1050-1110,Покаянная надпись Стевита (?),Первоначальные стены Софийского собора,стена церкви,Собор св. Софии,охъ мън[ѣ] (--) грѣшъ⸗,,"‘Ох мне, грешному. Стевит (?) писал’.",кириллица,граффито,"Юго-восточный подкупольный столб, южная лопатка, южная грань.",целая (100%),"Вероятно, до росписи 1109 г.",,"Орфография: Ь → ъ (после шипящего). Оформление: Левая и правая части надписи – охъмън[ѣ] и грѣшъ в 1-ой строке, н[о](м)[о]ус[т] и еви во 2-ой строке — расположены дистантно.",охъ мънѣ [GAP] грѣшъ,1050.0,1110.0,11.0
408,https://epigraphica.ru/epigraphy/inscription/show/408,1050-1110,Памятная надпись о пребывании монахов на службе (?) на Крестовоздвижение,Первоначальные стены Софийского собора,стена церкви,Собор св. Софии,н[а] Ста[в]р[о]въ дън[ъ],,‘На Крестовоздвижение … монахов’. ( ),кириллица,граффито,"Юго-восточный подкупольный столб, южная лопатка, восточная грань. 5 см от левого края, 18 см ниже современного пола.",с утратами (50-85%),,,"Одноеровая (ь → ъ 6×). Третья строка надписи, возможно, начинается правее первых двух, с букв къ (такой отступ мог бы быть вызван находившейся здесь более ранней надписью, которая сейчас тщательно зачеркнута). Если это так, то окончание рассматриваемой надписи можно реконструировать как с[о]р[о]|къ [б](ꙑ)л[о]. В таком случае ее полный текст имел вид: * На Ставровъ дьнь чьрьньць сорокъ было ‘На Крестовоздвижение [на службе] было сорок монахов’. Эта реконструкция допускает и не меняющее смысл фразы распространение, при котором место в начале третьей строки оказывается заполненным: *чьрьньць соро|(къ чл҃в)къ было ‘было сорок человек монахов’. В такой трактовке надпись оказывается ценным свидетельством участия новгородского черного духовенства в праздничном богослужении кафедрального собора.",на Ставровъ дънъ,1050.0,1110.0,11.0
410,https://epigraphica.ru/epigraphy/inscription/show/410,1050-1110,Молитва о Селяте,Первоначальные стены Софийского собора,стена церкви,Собор св. Софии,Ги҃ помози (р)або(у свое)[моу],,"‘Господи, помоги рабу своему Селяте’.",кириллица,граффито,"Юго-восточный подкупольный столб, южная лопатка, восточная грань. 19 см от левого края, 20 см ниже современного пола.",с небольшими утратами (>85%),,,,Ги҃ помози рабоу своемоу,1050.0,1110.0,11.0
416,https://epigraphica.ru/epigraphy/inscription/show/416,1050-1110,"Перечень имен (Чиж, Петр, Тудор)",Первоначальные стены Софийского собора,стена церкви,Собор св. Софии,[Ч]и[ж :] Петръ [: Т]о[у]доръ : Коу,,"‘Чиж, Петр, Тудор, ...’",кириллица,граффито,"Юго-восточный подкупольный столб, южная лопатка, восточная грань. 18 см от левого края, 32 см ниже современного пола.",целая (100%),,,"Почти ко всем буквам надписи пририсованы длинные вертикальные линии, отходящие от них вниз. Подобные украшения иногда встречаются на нижних полях древнерусских рукописей.",Чиж : Петръ : Тоудоръ : Коу,1050.0,1110.0,11.0
426,https://epigraphica.ru/epigraphy/inscription/show/426,1050-1110,Начало молитвы о Петре (или Дмитре),Первоначальные стены Софийского собора,стена церкви,Собор св. Софии,[Ги҃] пом(ози р)[абоу]………………,,"‘Господи, помоги рабу своему Петру (другой вариант — Дмитру) ...’",кириллица,граффито,"Юго-восточный подкупольный столб, восточная лопатка, южная грань. 27 см от левого края, 13 см ниже современного пола.",фрагмент (15-50%),,,В прямоугольной рамке. В начале восьмистрочной надписи читалась традиционное молитвенное обращение с именем Петръ или Дъмитръ.,Ги҃ помози рабоу [GAP],1050.0,1110.0,11.0
432,https://epigraphica.ru/epigraphy/inscription/show/432,1050-1110,Молитва об Олексее,Первоначальные стены Софийского собора,стена церкви,Собор св. Софии,Ги҃ помози раб⸗,,"‘Господи, помоги рабу своему грешному Олексею. Умоляю тебя, Господи’. ( )",кириллица,граффито,"Юго-восточный подкупольный столб, восточная лопатка, южная грань. 53 см от левого края, 19 см ниже современного пола.",с небольшими утратами (>85%),,,Орфография: Ѫ = <ю> (2×),Ги҃ помози раб,1050.0,1110.0,11.0
438,https://epigraphica.ru/epigraphy/inscription/show/438,1050-1110,Цитата из Апостола (2 Кор. 4: 6),Первоначальные стены Софийского собора,стена церкви,Собор св. Софии,и[ст]---свѣтѫ въ--ѧти,,‘Из тьмы воссиять свету’ (см. комментарий).,кириллица,граффито,"Юго-восточный подкупольный столб, восточная лопатка, южная грань. 64 см от левого края, 20 см ниже современного пола.",с утратами (50-85%),,,"Надпись, по-видимому, является цитатой из Апостола: и[с т](ьмы) свѣтѫ въ(си)ѧти (2 Кор. 4: 6). После въ виден горизонтальный штрих, идущий на уровне верха строки. Возможно, здесь выступал вариант буквы с с покрытием или с отворотом (впрочем, буква с в слове свѣтѫ выглядит иначе).",ист [GAP] свѣтѫ въ [GAP] ѧти,1050.0,1110.0,11.0
441,https://epigraphica.ru/epigraphy/inscription/show/441,1050-1110,Молитва о Павле,Первоначальные стены Софийского собора,стена церкви,Собор св. Софии,Ги҃ помо[зи раб](о)[у св]оемоу [П]а[в]ьл[оу],,"‘Господи, помоги рабу своему Павлу’.",кириллица,граффито,"Юго-восточный подкупольный столб, восточная лопатка, южная грань. 76 см от левого края, 28 см ниже современного пола.",с небольшими утратами (>85%),,,,Ги҃ помози рабоу своемоу Павьлоу,1050.0,1110.0,11.0
444,https://epigraphica.ru/epigraphy/inscription/show/444,1050-1110,Инципит возгласа священника,Первоначальные стены Софийского собора,стена церкви,Собор св. Софии,ѧко благословис,,,кириллица,граффито,"Юго-восточный подкупольный столб, восточная лопатка, южная грань. 75 см от левого края, 15 см ниже современного пола.",целая (100%),,,"Инципит возгласа священника, провозглашаемого после малой ектении (в разных случаях): «Яко благословися и прославися…». Граффито, возможно, не было закончено, так как писавший уперся в находящуюся справа надпись, не поддающуюся прочтению из-за утрат.",ѧко благословис,1050.0,1110.0,11.0
454,https://epigraphica.ru/epigraphy/inscription/show/454,1050-1110,Шуточная надпись (?),Первоначальные стены Софийского собора,стена церкви,Собор св. Софии,Нашьке клюни водꙑ,,"‘Нашко, клюнь воду’ (?). ( )",кириллица,граффито,"Юго-восточный подкупольный столб, восточная лопатка, южная грань. 105 см от левого края, 25 см ниже современного пола.",целая (100%),,,"Нашьке может быть вокативом — тогда перед нами шуточное обращение-дразнилка (см. перевод). Между тем новгородским писцовым книгам конца XV в. известен человек с прозвищем Клюйвода (Тупиков), представляющим собой образование той же структуры, что и фамилии типа рус. и укр. Варивода, укр. Непійвода, Подопригора, Убійвовк, серб. Газивода (‘топчи’ + ‘вода’), Мутивода. Возможно, поэтому, что и в нашем граффито фигурирует прозвище, в составе которого, однако, выступает не застывшая форма И. п. при императиве, а еще обычный Р. п. Отметим наддиалектную форму воды (в отличие от новг. водѣ).",Нашьке клюни водꙑ,1050.0,1110.0,11.0
460,https://epigraphica.ru/epigraphy/inscription/show/460,1157,Памятная надпись о смерти Георгия (Юрия Долгорукого),Стены переславского Спасо-Преображенского собора,стена церкви,Спасо-Преображенский собор,Георгиѧ въ [еı҃] (д-)⸗,,‘(помяни) Георгия в 15 день месяца мая’ ( ),кириллица,граффито,"Надпись была выполнена на восточном уступе лопатки к востоку от южного портала собора, в 5 см от левого края и в 135 см выше цоколя. Данное граффито находится на самой большой высоте из надписей Спасского собора, сделанных с поверхности земли. ( )",целая (100%),,,"Здесь указана дата кончины Юрия Владимировича, который умер в Киеве 15 мая 1157 г. Текст надписи сильно выбивается из древнерусского формуляра записей о смерти: мѣсяца A въ B дьнь прѣставися рабъ божии N. В начале может добавляться годовая дата: въ лѣто C, а дневная дата может дополняться или заменяться указанием на пришедшийся на этот день церковный праздник. В конце могут следовать подробности об усопшем, обстоятельствах его смерти и погребения.",Георгиѧ въ еı҃ д-,1157.0,1157.0,12.0
461,https://epigraphica.ru/epigraphy/inscription/show/461,1180-1200,"Молитва о Федоре Радиловиче (или Радиховиче, или Радославиче)",Стены переславского Спасо-Преображенского собора,стена церкви,Спасо-Преображенский собор,Ги҃ помози рабуо своѥму[о],,"‘Господи помоги рабу своему Федору Радиловичу (или Радиховичу, или Радославичу)’ ( )",кириллица,граффито,"Надпись расположена на уступе южной лопатки западного фасада, у левого края уступа, в 35 см выше цоколя. ( )",с небольшими утратами (>85%),,,,Ги҃ помози рабуо своѥмуо,1180.0,1200.0,12.0
462,https://epigraphica.ru/epigraphy/inscription/show/462,[1160-1220],Поминальная надпись о смерти Варвары с упоминанием особых заслуг усопшей,Стены переславского Спасо-Преображенского собора,стена церкви,Спасо-Преображенский собор,мс҇цѧ [ма]и[ѧ] вътър[ꙑ]⸗,,"‘12 мая преставилась Варвара, милостыней приучившая к [посещению] церкви много вдов’ ( )",кириллица,граффито,"Надпись находится на лопатке к югу от западного портала, у правого края лопатки и в 130 см выше цоколя. ( )",целая (100%),1160-1220 ( ),,"Особенностью надписи, выделяющей ее на фоне обычных для своего времени поминальных граффити, является упоминание особых заслуг усопшей. Варвара, по всей вероятности – боярская вдова, оставила по себе память щедрым попечением о вдовах. Сама по себе такая благотворительность не представляет собой ничего экстраординарного: забота о вдовах – одна из главных форм церковного милосердия, а заповедь о ней – общее место христианской гомилетики. Замечательно, однако, упоминание эффекта от этой деятельности. «Приучить» к Церкви можно лишь того, кто от нее отошел, утратив с ней связь. В этих словах граффито нельзя не увидеть отражение реального состояния женской религиозности в, казалось бы, давно уже крещеном обществе Северо-Восточной Руси.",мс҇цѧ маиѧ вътърꙑ,1160.0,1220.0,12.0
464,https://epigraphica.ru/epigraphy/inscription/show/464,1150-1250,Сокращенная запись названий дней недели,Стены переславского Спасо-Преображенского собора,стена церкви,Спасо-Преображенский собор,не҃ по҃ въ҃ се҃ че҃ пѧ҃ су҃ не҃ (…),,"‘Воскресенье, понедельник, вторник, среда, четверг, пятница, суббота, воскресенье’. ( )",кириллица,граффито,"Надпись расположена на западной стороне восточного прясла северного фасада Спасского собора, на лежащем непосредственно над фундаментной платформой нижнем камне кладки цоколя ( )",целая (100%),,,,не҃ по҃ въ҃ се҃ че҃ пѧ҃ су҃ не҃ [GAP],1150.0,1250.0,12.0
