Имя_файла,Количество_токенов,Размер_символов
1_ilia_muromec.txt,1173,6185
2_ilia_muromec.txt,742,3866
3_ilia_muromec.txt,945,4872
4_ilia_muromec.txt,459,2463
5_ilia_muromec.txt,4479,23022
mihail_danilovich.txt,2298,12634
mihailo_potok_1.txt,2451,12361
mihailo_potok_2.txt,2932,14194
mihailo_potok_3.txt,2676,13060
skazanie_o_7_bogatiriah.txt,2194,11539
staver_gadenovich.txt,1677,8998
unknown_bilina.txt,333,1718
